epoch,train_loss,test_acc@1,test_acc@5
5,3.4111455159309583,40.300000000000004,89.60000000000001
10,2.4007077675599318,48.02,92.9
15,2.0125100508714335,53.55,94.91000000000001
20,1.7737012520814552,56.53,96.0
25,1.6908905460284307,60.29,96.95
