epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.0226152632331849,67.384,95.48400000000001,0.6814442987442016,76.52,98.54
2,0.8063304601097107,72.028,97.292,0.6298438232421875,78.09,98.75
3,0.7723525257110596,73.19600000000001,97.474,0.610038189792633,78.97,98.94
4,0.7609921790885925,73.68,97.61800000000001,0.5930743556976318,79.47999999999999,98.86
5,0.7493084113311768,73.908,97.65,0.5721467338562012,80.02,98.94
6,0.7392707371520996,74.35199999999999,97.646,0.5627064363479615,80.47,99.11999999999999
7,0.7344886213302613,74.47200000000001,97.672,0.5591296511650086,80.28,99.08
8,0.7264361123466492,74.886,97.658,0.548723263168335,80.55,99.17
9,0.7248996537971497,74.754,97.834,0.5450985942840576,81.41000000000001,99.06
10,0.7219302590560913,75.022,97.72800000000001,0.5425693974494934,81.05,99.09
11,0.7179409027099609,75.2,97.802,0.5369132473945618,81.15,99.14
12,0.7237393458557129,74.878,97.72800000000001,0.541796424293518,81.26,99.03
13,0.710396700592041,75.288,97.78999999999999,0.53441021194458,81.35,99.21
14,0.7102259308624268,75.312,97.81400000000001,0.5288055683135986,81.96,99.17
15,0.7028839850616455,75.628,97.886,0.5482682803153992,80.69,98.99
16,0.7117032067108154,75.464,97.74199999999999,0.5214380279541015,82.17999999999999,99.16
17,0.7053042881584167,75.50200000000001,97.85199999999999,0.5293776834487915,81.38,99.22999999999999
18,0.6963388507080078,75.786,97.86399999999999,0.5177851719856262,82.19,99.16
19,0.6969221669197082,75.70400000000001,98.02,0.5222778673171997,82.03,99.03999999999999
20,0.693186266860962,75.882,97.836,0.5188440713882446,82.09,99.26
21,0.6980982223129273,75.776,97.896,0.5103261528015137,82.48,99.1
22,0.6926810196113586,75.778,97.878,0.5144899218559266,82.43,99.19
23,0.6914516137313843,75.924,97.944,0.5264112971305848,81.71000000000001,99.11999999999999
24,0.6927970052528382,75.938,97.89999999999999,0.5190751051902771,81.95,99.18
25,0.6902723926353455,75.85,97.922,0.5091174333572388,82.55,99.27
26,0.691381986503601,75.606,97.962,0.5068640091896057,82.38,99.21
27,0.6839438047599793,76.216,97.968,0.5096930311203003,82.46,99.22999999999999
28,0.6894704765510559,76.178,97.94,0.5045533042907715,82.69999999999999,99.26
29,0.6809486320877075,76.182,98.016,0.4989482018470764,82.53,99.3
30,0.6838867719268799,75.896,97.99,0.5084129932403565,82.55,99.25
31,0.6858962718200684,76.098,97.976,0.49829711055755616,82.57,99.33999999999999
32,0.6773005255126953,76.366,97.978,0.5183002452850342,81.78999999999999,99.19
33,0.6894752810668945,75.88000000000001,97.872,0.498745073223114,82.80999999999999,99.28
34,0.6846805151939392,76.06,97.902,0.49397497882843017,83.07,99.31
